id,type,address,number,postal_code,municipality,province,location,public,available,hours,latitude,longitude
3976.0,,Rue de Namur,92.0,6041.0,Gosselies,Hainaut,cafetariat du Centre Equestre,,,,50.470483578029,4.437104363198
3977.0,,Noord-Edestraat ,156.0,8450.0,Bredene,West-Vlaanderen,lokaal personeel,,,,51.223898991581,2.969562114668
3978.0,Appareil fixe-Vast apparaat,Centrumplein,1.0,8450.0,Bredene,West-Vlaanderen,"Gemeentehuis
Buitenzijde publieke inkom",Oui-Ja,Oui-Ja,,51.240417375807,2.965332773964
3979.0,,Rue Etienne Dourlet ,90.0,6000.0,Charleroi,Hainaut,,,,,50.420432803417,4.45493459909
3980.0,,Rue de l Abbaye ,26.0,1357.0,Hélécine,Brabant Wallon,chalet club-house,,,,50.748392073786,4.978848809832
3981.0,,Rue du Bois ,,6740.0,Etalle,Luxembourg,installations de football,,,,49.667296121098,5.600672274927
3982.0,,Sportlaan ,8.0,3680.0,Maaseik,Limburg,inkomhal,,,,51.101808399475,5.789879581793
3983.0,,Rue de l Ermitage ,16.0,4400.0,Flémalle,Liège,salle du Conseil-rez-1è porte,,,,50.599079784285,5.462792574178
3984.0,,Klinkaardstraat,198.0,2950.0,Kapellen,Antwerpen,"glvl, inkomhal",,,,51.351468708064,4.414415976226
3985.0,,Boulevard Philippet ,83.0,4000.0,Liège,Liège,"rez,tour de Chronométrage",,,,50.653103497183,5.557508918251
3986.0,,Rue Emile Lejeune,1.0,4250.0,Geer,Liège,hall omnisport sur le mur,,,,50.669887881107,5.172860699321
3987.0,,Route de Goe,,4830.0,Limbourg,Liège,vestiaires local chauffage,,,,50.608906952403,5.950551387472
3988.0,,Rue Saint-Maximin ,,6724.0,Rulles,Luxembourg,salle paroissiale,,,,49.71682631582,5.559909594295
3989.0,,Korte Herentalse straat,,2018.0,Antwerpen,Antwerpen,back office glvl,,,,51.214406615691,4.41684280316
3990.0,,Quinten Matsyslei,25.0,2018.0,Antwerpen,Antwerpen,"back office, glvl",,,,51.213338128856,4.416967259914
3991.0,,Avenue des Anciens Combattants ,650.0,1140.0,Bruxelles,Bruxelles-Brussel,clubhouse,,,,50.865906282455,4.408119532758
3992.0,,Avenue Reine Astrid ,92.0,1310.0,La hulpe,Brabant Wallon,5° étage derrière réceptio,,,,50.727056567896,4.472168043476
3993.0,,Route de Falize ,151.0,4960.0,Malmédy,Liège,accueil,,,,50.4198949786,6.014802002355
3994.0,,Rue Grondal  ,14.0,4890.0,Thimister,Liège,atelier,,,,50.63934296865,5.880861788001
3995.0,,Rue Grondal ,14.0,4890.0,Thimister,Liège,bureau,,,,50.63934296865,5.880861788001
3996.0,,Rue des Ecoliers,7.0,1160.0,Bruxelles,Bruxelles-Brussel,palier escalier administratif,,,,50.81629299131,4.42183882204
3997.0,,Kattenberg ,19.0,1170.0,Bruxelles,Bruxelles-Brussel,salle de sport,,,,50.790848676484,4.417232295693
3998.0,,Rue des Dix huit Bonniers ,,4460.0,Grâce-Hollogne,Liège,cafetaria,,,,50.643528050574,5.487577978348
4000.0,,Avenue de la Gare ,207.0,4460.0,Grâce-Hollogne,Liège,salle gym,,,,50.653774704111,5.44803244187
4001.0,,Rue Forsvache ,,4460.0,Grâce-Hollogne,Liège,cafetaria,,,,50.62954795297,5.473788069384
4002.0,,Rue Forsvache ,38.0,4460.0,Grâce-Hollogne,Liège,,,,,50.630423132285,5.474237130517
4003.0,,Rue du Corbeau,,4460.0,Grâce-Hollogne,Liège,,,,,50.630328244022,5.501317000154
4004.0,,Rue Alfred Defuisseaux,4.0,4460.0,Grâce-Hollogne,Liège,,,,,50.632549729493,5.502243929311
4005.0,,Rue Ernest Renau ,30.0,4460.0,Grâce-Hollogne,Liège,salle de gym,,,,50.63891360566,5.505828114928
4006.0,,Rue des 18 Bonniers,,4460.0,Grâce-Hollogne,Liège,,,,,50.643528050574,5.487577978348
4007.0,,Rue de la Carrière,5.0,7370.0,Dour,Hainaut,salle de sport,,,,50.386896347807,3.754137672369
4008.0,,Rue du Charles Wantiez,27.0,7370.0,Dour,Hainaut,salle de sport,,,,50.400953972899,3.750592462602
4009.0,,Rue du Chêne Brûlé ,84.0,7370.0,Dour,Hainaut,salle de sport,,,,50.397026003523,3.787534611201
4010.0,,Chaussée de Gand ,615.0,1080.0,Bruxelles,Bruxelles-Brussel,infirmerie bat. Industriel,,,,50.860755802533,4.307081012198
4011.0,,Chaussée de Gand,615.0,1080.0,Bruxelles,Bruxelles-Brussel,bat. Administrsas sortie,,,,50.860755802533,4.307081012198
4012.0,,Avenue du Roi Albert ,33.0,1082.0,Bruxelles,Bruxelles-Brussel,entrée salle des fêtes,,,,50.89440067806,4.372895213018
4013.0,,Pl du Roi Baudouin ,1.0,1082.0,Bruxelles,Bruxelles-Brussel,face secret. accueil,,,,50.86318257305,4.296464661274
4014.0,,Rue Salvador Allende ,,7134.0,Leval-Chaudeville,Hainaut,vestiaire,,,,50.23573,4.21
4015.0,,Rue Alphonse Gravis ,,7134.0,Péronnes-lez-Antoing,Hainaut,arrière du Bar,,,,50.439722220665,4.146454098109
4016.0,,Chaussée de Brunehault ,,7134.0,Péronnes-lez-Antoing,Hainaut,hall d entrée,,,,50.56765,3.4492
4017.0,,Rue Thomas Vinçotte ,36.0,1030.0,Bruxelles,Bruxelles-Brussel,"rez,salle de séjour",,,,50.852913065279,4.382494252353
4018.0,,Bd A. Reyers ,70.0,1030.0,Bruxelles,Bruxelles-Brussel,6è étg - Côté C,,,,50.851756572189,4.401445064881
4019.0,,Bd A. Reyers ,70.0,1030.0,Bruxelles,Bruxelles-Brussel,Rez-de-Chaussée,,,,50.851756572189,4.401445064881
4020.0,,Avenue Britsiers ,11.0,1030.0,Bruxelles,Bruxelles-Brussel,"rez, hall entrée",,,,50.870729806307,4.385703766898
4021.0,,Rue de Zaventem ,60.0,1140.0,Bruxelles,Bruxelles-Brussel,infirmerie,,,,50.865077218444,4.422714730922
4023.0,,Galgenheiken,1.0,2920.0,Kalmthout,Antwerpen,fabriek,Y,,,51.36765039124,4.49783250899
4024.0,Appareil fixe-Vast apparaat,Grensstraat ,141.0,2950.0,Kapellen ,Antwerpen,Kantine voetbal ,Non-Nee,Non-Nee,Tijdens openingsuren kantine voetbal ,51.360512739681,4.412913184805
4025.0,,Chemin de Ville du bois,,6692.0,Petit-Thier,Luxembourg,"buvette,rez de ch",,,,50.305352011058,5.96167948018
4026.0,,Rue Voie du herdier s/n l),,4020.0,Liège,Liège,"rez de ch,hall accueuil",,,,50.639979089337,5.620972802131
4027.0,,Industrielaan ,24.0,2250.0,Olen,Antwerpen,"inkomhal, glvl",,,,51.148936027265,4.876899553871
4028.0,,Metrologielaan,2.0,1130.0,Brussel,Bruxelles-Brussel,EHBO lokaal glvl by ingang 4,,,,50.893622753626,4.429523267052
4029.0,,Rue Ruelle Gros Pierre ,10.0,7800.0,Ath,Hainaut,expéditions,,,,50.627595773259,3.767996562537
4030.0,,Rue Ruelle Gros Pierre ,10.0,7800.0,Ath,Hainaut,laboratoire,,,,50.627595773259,3.767996562537
4031.0,,Rue Fond Jean Pâques ,2.0,1348.0,Louvain-la-Neuve,Brabant Wallon,hall parking arrière,,,,50.663567265763,4.634158476665
4032.0,,Rue Georges Theys ,15.0,6238.0,Luttre,Hainaut,salle gym à l étage du bar,,,,50.50917548555,4.390430890815
4033.0,,Rue de Villers ,208.0,6010.0,Couillet,Hainaut,salle de gym plaine de jeux,,,,50.385598872363,4.47668919171
4034.0,,Chemin des Tilleuls ,196.0,6717.0,Attert,Luxembourg,buvette cafetaria,,,,49.769199872282,5.788787587447
4035.0,,Rue Canal,41.0,4520.0,Wanze,Liège,hall d entrée,,,,50.556122279054,5.186951935844
4036.0,,Rue de la Hestre,37.0,7160.0,Chapelle-lez-Herlaimont,Hainaut,"rez de ch, dojo,salle de spor",,,,50.467314327764,4.280398997274
4037.0,,Rue de la Ferme,,4140.0,Sprimont,Liège,,,,,50.49156586328,5.602020880003
4038.0,,Rue de la Brasserie ,19.0,5640.0,Mettet,Namur,à l étage porte à droit,,,,50.322659998351,4.65672707402
4039.0,,Chemin des Ecoliers,5.0,4877.0,Olne,Liège,"rez,au fond du hall d entrée",,,,50.590645410396,5.753418805894
4040.0,,Rue de Villers ,330.0,6010.0,Couillet,Hainaut,"salle,rez de ch",,,,50.383349461659,4.479334989786
4044.0,,Avenue des Arts ,52.0,1000.0,Bruxelles,Bruxelles-Brussel,local cuisine,,,,50.841658390519,4.367014050655
4045.0,,Rue du Lombard ,77.0,1000.0,Bruxelles,Bruxelles-Brussel,"rez de ch, accueil",,,,50.844710199556,4.351854456752
4046.0,,Rue Lelièvre ,10.0,5000.0,Namur,Namur,couloir direction rezen face secr,,,,50.465126200796,4.861680783733
4047.0,,Rue du College,8.0,5000.0,Namur,Namur,couloir direction 1° étage,,,,50.463799177885,4.862623664021
4048.0,,Route d Ohain,9.0,1380.0,Lasne,Brabant Wallon,hall d entrée,,,,50.687286490895,4.478608027323
4049.0,,Rue de Colinet,11.0,1380.0,Lasne,Brabant Wallon,cafetaria,,,,50.658704799937,4.470767998218
4050.0,,Route de Genval ,20.0,1380.0,Lasne,Brabant Wallon,cafetaria,,,,50.703729354173,4.469576023738
4051.0,,Rue de Bonsecours  ,2.0,6590.0,Momignies,Hainaut,piscine de l école,,,,50.49803,3.60815
4052.0,,Rue de Bonsecours ,2.0,6590.0,Momignies,Hainaut,hall des sports,,,,50.49803,3.60815
4053.0,,Rue Mandenne ,,6590.0,Momignies,Hainaut,"bât cafetaria,petite cantine",,,,50.028242120875,4.152362954296
4054.0,,Rue Jean Verkruys,60.0,4681.0,Hermalle-sous-Argenteau,Liège,hall accueil du batiment,,,,50.708078166043,5.677384404716
4055.0,,Rue de la Basse Sambre ,10.0,5060.0,Arsimont,Namur,hall accueil bat d prima,,,,50.429304922199,4.632884415161
4056.0,,Rue des Moulins ,50.0,7700.0,Mouscron,Hainaut,hall accueil bat des primaires,,,,50.741222738633,3.211571883043
4057.0,,Rue  Defoin ,215.0,5500.0,Dinant,Namur,hall vestiaires à l étage,,,,50.241480176449,4.920268107634
4058.0,,Rue de Neufchateau ,63.0,6640.0,Neufchâteau,Luxembourg,hall vestiaires,,,,49.84461,5.42847
4059.0,,Rue de la Brasserie ,92.0,7812.0,Ligne,Hainaut,salle de sport,,,,50.624488685571,3.703207300838
4060.0,,Rue Hennepin ,12.0,7800.0,Ath,Hainaut,salle de sport,,,,50.630808095741,3.780165325748
4061.0,,Avenue du Centenaire,14.0,4053.0,Embourg,Liège,RDC-hall entrée,,,,50.592367548418,5.610212014679
4062.0,,Voie de l Air Pur ,227.0,4052.0,Beaufays,Liège,"rez de ch, hall d entrée",,,,50.563016981149,5.635866469534
4063.0,,Rue des Coquelicots  ,2.0,4053.0,Embourg,Liège,1er étagesalle de gym,,,,50.600167042855,5.620669157068
4064.0,,Avenue des Thermes,78.0,4050.0,Chaudfontaine,Liège,"rez, hall entrée",,,,50.586224291747,5.640909860675
4065.0,,Rue de la Vesdre ,14.0,4051.0,Vaux-sous-Chèvremont,Liège,"rez,petit localsalle de gym",,,,50.598272271733,5.634056565181
4066.0,,Rue de la Loignerie ,19.0,4050.0,Chaudfontaine,Liège,"rez,grande salle de sport",,,,50.57931504705,5.637829511258
4067.0,,Avenue des Thermes,147.0,4050.0,Chaudfontaine,Liège,local maître-nageur,,,,50.589523702203,5.652540338064
4068.0,,Au Chession ,8.0,4053.0,Embourg,Liège,couloir vers cafetéria,,,,50.583708714966,5.611329286178
4069.0,,Rue de la Saté ,33.0,4351.0,Hodeige,Liège,"buvette,à pronimité des cuisine",,,,50.696737777801,5.36048422403
4070.0,,Place du Roi Albert,,4350.0,Remicourt,Liège,à pronimité porte d entrée,,,,50.694748601971,5.304183598297
4071.0,,Rue Nouvelle Percée,5.0,4350.0,Remicourt,Liège,hall d entrée,,,,50.678434698227,5.320330730323
4072.0,,Rue Haute ,25.0,4350.0,Remicourt,Liège,passage entre scène - cafetaria,,,,50.680692693733,5.331707756705
4073.0,,Rue Joseph Desir ,2.0,4350.0,Momalle,Liège,hall d entrée,,,,50.675465789736,5.370412266702
4074.0,,Rue Jules Melotte,15.0,4350.0,Remicourt,Liège,hall d entrée,,,,50.679245102536,5.322130241116
4075.0,,Place Marcel Hicte,3.0,4350.0,Momalle,Liège,salle de billard,,,,50.68488637483,5.373388261242
4076.0,,Rue Pissoule ,,4350.0,Momalle,Liège,vestiaires,,,,50.687413179205,5.36481874369
4077.0,,Rue René Magritte ,70.0,7860.0,Lessines,Hainaut,rez de ch,,,,50.714453538281,3.836324579938
4078.0,,Rue de la Déportation,37.0,7860.0,Lessines,Hainaut,rez de ch,,,,50.708312296971,3.83584784576
4079.0,,Grand Place ,12.0,7860.0,Lessines,Hainaut,rez de ch,,,,50.712094577361,3.829508751551
4080.0,,Boulevard Schevenels ,24.0,7860.0,Lessines,Hainaut,rez de ch,,,,50.714124171396,3.82578383378
4081.0,,Rue des Quatre Fils Aymon,21.0,7860.0,Lessines,Hainaut,rez de ch,,,,50.71256947277,3.834150556935
4082.0,,Rue des Quatre Fils Aymon,56.0,7860.0,Lessines,Hainaut,rez de ch,,,,50.71344599161,3.833394601864
4083.0,,Rue des Quatre Fils Aymon ,17.0,7860.0,Lessines,Hainaut,rez de ch,,,,50.71256947277,3.834150556935
4084.0,,Rue Magritte ,70.0,7860.0,Lessines,Hainaut,,,,,50.714453538281,3.836324579938
4085.0,,Da Vincilaan ,11.0,1930.0,Zaventem,Vlaams-Brabant,"Corporate village geb.5°v,recep",,,,50.889227534457,4.457625803702
4086.0,,Avenue de l Indépendance,93.0,4020.0,Liège,Liège,"rez,bat. administ",,,,50.659417626755,5.648210079245
4087.0,,Rue du Couvent ,,7903.0,Blicquy,Hainaut,"salle de sport,rez de ch",,,,50.597389051836,3.683724826056
4088.0,,Rue Vandervelde ,81.0,7972.0,Quevaucamps,Hainaut,hall d entrée du restaurant,,,,50.523970639577,3.690714157974
4089.0,,Chaussée de Liège ,119.0,5100.0,JambesNamur),Namur,"rez de ch, clubhouse",,,,50.458181500648,4.882458264419
4090.0,,Klosterstrasse ,38.0,4780.0,Sankt,Liège,"Rez-de-chaussée, à l entrée principale du secrétariat",,,,52.450660007284,11.485167039319
4091.0,,Heide,15.0,1780.0,Wemmel,Vlaams-Brabant,"glvl, aan sas,ingang",,,,50.897926441812,4.319631654918
4093.0,,Rue des Aubépines ,50.0,6800.0,Libramont-Chevigny,Luxembourg,préau piste de jumping,,,,49.912618081934,5.368426158173
4094.0,,Rue du Nofiot ,1.0,6941.0,BomalBt.),Luxembourg,"rez,local central hall omnisport",,,,43.499484,-87.848432
4095.0,,Schoolstraat ,46.0,1650.0,Beersel,Vlaams-Brabant,aan ingang gebouw,,,,50.766793243013,4.314207893011
4096.0,,Dworpsestraat ,149.0,1651.0,Lot,Vlaams-Brabant,"buiten,hoofdingang sportzaal",,,,50.759920501504,4.279224427547
4097.0,,Rilroheidestraat,,1653.0,Dworp,Vlaams-Brabant,"buiten,ingang cafetaria/kleedkame",,,,50.72223846757,4.307739467996
4098.0,,Zoniënwoudlaan ,,1652.0,Alsemberg,Vlaams-Brabant,"buiten, ingang cafetaria",,,,50.74061575539,4.339046036169
4099.0,,Sollenbeemd ,,1654.0,Huizingen,Vlaams-Brabant,"buiten, ingang cafetaria/kleedkamers",,,,50.75033256751,4.273085668709
4100.0,,Kerkstraat ,13.0,1653.0,Dworp,Vlaams-Brabant,"buiten, ingang sportschuur",,,,50.730498261159,4.297042090584
4101.0,,Rue Dinez ,,6661.0,Houffalize,Luxembourg,rez de l ancienne buvette du foot,,,,50.176859702338,5.774312223062
4102.0,,Rue de la Cour ,2.0,6536.0,Thuillies,Hainaut,"rez de ch,salle petanque",,,,50.294466503102,4.328651923839
4103.0,,Chaussée de Wavre,2.0,5030.0,Gembloux,Namur,entrée côté droit,,,,50.572061934775,4.691278452376
