id,type,address,number,postal_code,municipality,province,location,public,available,hours,latitude,longitude
12061.0,Appareil fixe-Vast apparaat,Rue Paul Pastur ,43.0,7643.0,Fontenoy,Hainaut,Entrée,Non-Nee,Non-Nee,,50.563880652452,3.475732423121
12062.0,Appareil fixe-Vast apparaat,rue de la communauté urbaine du centre,1.0,7110.0,Houdeng Goegnies,Hainaut,"Société TopTex Group Garocentre Sud - Magnapark
dans le Hall au rez de chaussée",Non-Nee,Non-Nee,08h-18h,50.497506372862,4.176179489203
12063.0,Appareil fixe-Vast apparaat,Anker,15.0,9260.0,Serskamp,Oost-Vlaanderen,Inkomsas,Oui-Ja,Oui-Ja,,50.991232195399,3.921906828844
12064.0,Appareil fixe-Vast apparaat,Geslecht,2.0,9130.0,Doel,Oost-Vlaanderen,Controlekamer,Oui-Ja,Oui-Ja,,51.292072027592,4.27192823229
12070.0,Appareil fixe-Vast apparaat,Vrijheid,13.0,2320.0,Hoogstraten,Antwerpen,"Aan de ingang van het Politiekantoor
X : 51.406520 - Y : 4.7610867",Oui-Ja,Oui-Ja,"Steeds toegankelijk, het toestel bevindt zich buiten het gebouw in de overdekte inkomhal",51.406406635142,4.763417385874
12071.0,Appareil fixe-Vast apparaat,Kortrijksesteenweg,244.0,8530.0,Harelbeke,West-Vlaanderen,Parking burelen - Sociale ruimte,Non-Nee,Non-Nee,,50.845973645731,3.295687969446
12072.0,Appareil fixe-Vast apparaat,ROUTE DE ALLE 3,3.0,6830.0,ROCHEHAUT,Luxembourg,REST.LE POINT DE VUE ROCHEHAUT,Oui-Ja,Non-Nee,8H A 24H,49.84004463993,5.00482457923
12073.0,Appareil fixe-Vast apparaat,ESPLANADE DU VAL 1,1.0,4100.0,SERAING,Liège,MUSEE ASCENSEUR,Oui-Ja,Non-Nee,HEURE D OUVERTURE,50.594388055892,5.482144879867
12074.0,Appareil fixe-Vast apparaat,RUE DES FRERES TAYMANS,5.0,1480.0,TUBIZE,Hainaut,SAS  ACCUEIL HALL SPORTIF,Oui-Ja,Non-Nee,HORAIRE BUREAU,50.69013235657,4.205527298248
12075.0,Appareil fixe-Vast apparaat,MUSEE ABBAYE 1 ,1.0,4100.0,SERAING,Liège,1ER ETAGE,Oui-Ja,Non-Nee,HEURE D OUVERTURE BUREAU,50.607210998886,5.499002782829
12076.0,Appareil fixe-Vast apparaat,RUE JULES HANS ,1.0,1412.0,BRAINE L ALLEUD,Brabant Wallon,HALL ACCUEIL,Oui-Ja,Non-Nee,HEURE DE BUREAU,50.683724140135,4.37152032944
12077.0,Appareil fixe-Vast apparaat,ESPLANADE DU VAL,1.0,4100.0,SERAING,Liège,MUSEE ACCUEIL,Oui-Ja,Non-Nee,HORAIRE VISITE,50.594388055892,5.482144879867
12078.0,Appareil fixe-Vast apparaat,ESPLANADE DU VAL,1.0,4100.0,SERAING,Liège,MUSEE ASCENSEUR +2,Oui-Ja,Non-Nee,HEURE D OUVERTURE MUSEE,50.594388055892,5.482144879867
12079.0,Appareil fixe-Vast apparaat,CHAUSSE LOUVAIN 66,66.0,1410.0,WATERLOO,Brabant Wallon,SALLE MUSCULATION,Oui-Ja,Non-Nee,HEURE D OUVERTURE,50.691969963113,4.414199890762
12080.0,Appareil fixe-Vast apparaat,RUE DU CHATEAU ,1.0,1420.0,BRAINE L ALLEUD,Brabant Wallon,ACADEMIE MUSIQUE HALL D ENTREE,Oui-Ja,Non-Nee,HEURE BUREAU,50.682509644275,4.36886963638
12081.0,Appareil fixe-Vast apparaat,RUE DU PRESBYTERE 5,5.0,1360.0,THERENBAIS LES BEGUINES,Brabant Wallon,REZ DE CHAUSSEE,Oui-Ja,Non-Nee,HEURE DE BUREAU,50.65656976464,4.820028315953
12082.0,Appareil fixe-Vast apparaat,Chaussée d Ath,1.0,7850.0,Enghien,Hainaut,Au rez-de-chaussée et au milieu de l aile Nord du bâtiment principal du Collège Saint-Augustin,Non-Nee,Non-Nee,Horaire scolaire,50.688722436637,4.03118446657
12083.0,Appareil fixe-Vast apparaat,Avenue André Ernst,19.0,4682.0,Verviers,Liège,Entrée du bâtiment principal,Non-Nee,Oui-Ja,,50.620895237951,5.835048484539
12084.0,Appareil fixe-Vast apparaat,Rue de la Gare,7.0,4217.0,Héron,Liège,Sur la façade du bâtiment (salle de fête),Oui-Ja,Oui-Ja,,50.54725372258,5.093879534441
