id,type,address,number,postal_code,municipality,province,location,public,available,hours,latitude,longitude
8335.0,,Rue des technologies ,11.0,4530.0,Villers-le-Bouillet,Liège,,,,,50.582753261823,5.26277454815
8336.0,,Klein Zuidland,9.0,2030.0,Antwerpen,Antwerpen,,,,,51.272318457818,4.372771846942
8337.0,,Place de la gare,7.0,4980.0,Trois-Ponts,Liège,,,,,50.369245694191,5.872565799333
8338.0,,Rue de l Hospice,18.0,4860.0,Pepinster,Liège,,,,,50.56754330153,5.810386196913
8339.0,,Rue de Maestricht,65.0,4600.0,Visé,Liège,,,,,50.74338003913,5.700253630485
8340.0,,Bvd Hector Grosjean,2.0,4840.0,Welkenraedt,Liège,,,,,50.659063491346,5.972884691308
8342.0,,Rue de Bastogne,394.0,6700.0,Arlon,Luxembourg,,,,,49.69707862002,5.808858691084
8343.0,,Ambachtstraat ,1109.0,3850.0,NieuwerkerkenLimb.),Limburg,,,,,43.499484,-87.848432
8344.0,,Wegnaar meeuwen ,52.0,3660.0,Opglabbeek,Limburg,,,,,51.036408180854,5.529209433836
8345.0,,Nijverheidslaan,52.0,8560.0,Wevelgem,West-Vlaanderen,,,,,50.857696365964,3.181280355519
8346.0,,Merantistraat ,1.0,2030.0,Antwerpen,Antwerpen,,,,,51.238981441644,4.415924950507
8347.0,,Essenestraaat ,26.0,1740.0,Ternat,Vlaams-Brabant,,,,,50.884854402805,4.160405250341
8348.0,,Essenestraa,26.0,1740.0,Ternat,Vlaams-Brabant,,,,,50.867838026,4.160232971
8349.0,,Rue de la chaudronerie,13.0,4340.0,Awans,Liège,,,,,50.67682213316,5.473902659322
8350.0,,Rue du Chêne,11.0,4031.0,Angleur,Liège,,,,,50.61030805605,5.57751400656
8352.0,,Avenue Jules Bordet ,142.0,1140.0,Bruxelles,Bruxelles-Brussel,,,,,50.871581533398,4.416649585784
8353.0,,Rue de la croisette,5.0,6680.0,Sainte-Ode,Luxembourg,,,,,50.010246266616,5.52850527015
8354.0,,Route de la Barrière,2.0,6680.0,Sainte-Ode,Luxembourg,,,,,50.037160012888,5.548371470323
8355.0,,Rue saint-Martin,6.0,6680.0,Sainte-Ode,Luxembourg,,,,,50.011802115483,5.581397845215
8356.0,,Ter Stratenweg,13.0,2520.0,Oelegem,Antwerpen,,,,,51.210964038601,4.583367064867
8357.0,,rue du Parc de Saint-Marc,16.0,5003.0,Saint-Marc,Namur,,Y,,,50.489518419136,4.844929550237
8358.0,,Avenue de Waterloo,19.0,6000.0,Charleroi,Hainaut,,,,,50.414868099808,4.448086584196
8359.0,,Place Verte ,20.0,6000.0,Charleroi,Hainaut,,,,,50.407625049433,4.441740560128
8360.0,,Avenue E. Mounier ,5.0,1200.0,Bruxelles,Bruxelles-Brussel,,,,,50.852645556839,4.44852420336
8361.0,,Avenue E. Mounier,5.0,1200.0,Bruxelles,Bruxelles-Brussel,,,,,50.852645556839,4.44852420336
8362.0,,Avenue Jean Monnet ,12.0,1400.0,Nivelles,Brabant Wallon,,,,,50.618679020842,4.328431479786
8364.0,,Monschauer strasse ,10.0,4700.0,Eupen,Liège,,,,,50.619918075679,6.044854226543
8365.0,,Talstrasse ,37.0,4700.0,Eupen,Liège,,,,,50.644906205425,6.051279206784
8366.0,,Vervierser strasse ,6.0,4700.0,Eupen,Liège,,,,,50.6309528093,6.028411866179
8367.0,,Kaperberg,4.0,4700.0,Eupen,Liège,,,,,50.63152416173,6.040296901968
8368.0,,Schönefelderweg ,226.0,4700.0,Eupen,Liège,,,,,50.630942122373,6.072965118137
8369.0,,Schönefelderweg,240.0,4700.0,Eupen,Liège,,,,,50.63424241293,6.076431118919
8370.0,,Hillstrasse ,7.0,4700.0,Eupen,Liège,,,,,50.621021846598,6.040110739898
8371.0,,Judenstrasse,88.0,4700.0,Eupen,Liège,,,,,50.626408895769,6.040690935236
8372.0,,Korte keppestraat,9.0,9300.0,Aalst,Oost-Vlaanderen,,,,,50.915319351906,4.043527741005
8373.0,,Jan Breydelstraat,107.0,8200.0,Brugge,West-Vlaanderen,,,,,51.208654834362,3.226201183513
8374.0,,Sint-clarastraat ,48.0,8000.0,Brugge,West-Vlaanderen,,,,,51.216856893719,3.224118083354
8375.0,,Rue des Roseaux,2.0,7331.0,Saint-Ghislain,Hainaut,,,,,50.469349590349,3.855995565586
8376.0,,Interleuvenlaan,33.0,3001.0,Heverlee,Vlaams-Brabant,,,,,50.849800152169,4.731549390001
8377.0,,Clos de l Harmonie,7.0,6530.0,Thuin,Hainaut,,,,,50.465415627912,4.254308465987
8378.0,,Rue du calvaire ,7.0,3120.0,Ham-sur-Heure,Vlaams-Brabant,,,,,50.320544177092,4.388132373737
8379.0,,Rue de Marchienne ,5.0,6110.0,Montigny-le-Tilleul,Hainaut,,,,,50.379281179225,4.380024105487
8380.0,,Rue Alfreg Thiébaut,11.0,6280.0,Gerpinnes,Hainaut,,,,,50.335308960795,4.522826254611
8382.0,,Stenhei,2.0,2480.0,Dessel,Antwerpen,,,,,51.238573524746,5.069373783222
8383.0,,Hoogbuul,53.0,2250.0,Olen,Antwerpen,,,,,51.148854932351,4.894331900819
8384.0,,Reigerstraat ,3.0,1840.0,Londerzeel,Vlaams-Brabant,,,,,51.013583839412,4.311573041748
8387.0,,Wintergroenstraat ,61.0,3600.0,Genk,Limburg,,,,,50.932887820961,5.528044936027
8388.0,,Chaussée de Liège,654.0,5100.0,Namur,Namur,,,,,50.463319691114,4.909636920742
8389.0,,Kwadestraat,151.0,8800.0,Roeselare,West-Vlaanderen,,,,,50.919977887962,3.175049416337
8390.0,,Biezeweg ,8.0,9230.0,Wetteren,Oost-Vlaanderen,,,,,50.989608453116,3.84139118895
8391.0,,Rue louis Bleriot ,12.0,6041.0,Gosselies,Hainaut,,,,,50.473636805416,4.457789254167
8392.0,,Guido Gezellestraat,20.0,8790.0,Waregem,West-Vlaanderen,,,,,50.886151292774,3.437036109826
8393.0,,Koekoekstraat,26.0,8793.0,Waregem,West-Vlaanderen,,,,,50.904215928588,3.402912459989
8394.0,,Zuiderlaan ,43.0,8790.0,Waregem,West-Vlaanderen,,,,,50.882732775473,3.432728314508
8397.0,,Schurhovenveld ,4077.0,3800.0,Sint-Truiden,Limburg,,,,,50.821099025312,5.208716487766
8398.0,,Steenweg Deinze ,154.0,9810.0,Nazareth,Oost-Vlaanderen,,,,,50.929888566458,3.62688101997
8399.0,,Trekweg Linkeroever,1.0,9700.0,Oudenaarde,Oost-Vlaanderen,,,,,50.841680941897,3.613344321181
8400.0,,Thier de l Eglise,7.0,4210.0,Burdinne,Liège,,,,,50.581556158411,5.127043037269
8401.0,,rue Chimpisse,7.0,4210.0,Burdinne,Liège,,,,,50.581884226101,5.07796498252
8404.0,,Schureveld,11.0,3740.0,Bilzen,Limburg,,,,,50.874878219736,5.519481229372
8405.0,,Av. Decraene,3.0,7500.0,Tournai,Hainaut,,,,,50.605972021325,3.402982454692
8406.0,,Hendrik Noterdaemestraat,1.0,8670.0,Koksijde,West-Vlaanderen,,,,,51.108459146278,2.670449541263
8407.0,,Avenue de la Toison d Or,86.0,1060.0,Bruxelles,Bruxelles-Brussel,,,,,50.833791471475,4.351537117898
8408.0,,Vergunningenstraat ,6.0,8400.0,Oostende,West-Vlaanderen,,,,,51.221907032291,2.941290206714
8409.0,,Vergunningenstraat,6.0,8400.0,Oostende,West-Vlaanderen,,,,,51.221907032291,2.941290206714
8410.0,,Zuiddokweg ,6.0,9000.0,Gent,Oost-Vlaanderen,,,,,51.07470604062,3.741836370043
8411.0,,Koordedekenshoef ,14.0,2030.0,Antwerpen,Antwerpen,,,,,51.252002926195,4.394410468822
8412.0,,Generaal De Wittelaan ,5.0,2800.0,Mechelen,Antwerpen,,,,,51.056959266335,4.455106092829
8413.0,,Gen. De Wittelaan ,5.0,2800.0,Mechelen,Antwerpen,,,,,51.056959266335,4.455106092829
8414.0,,Sint-Jansstraat,39.0,3320.0,Hoegaarden,Vlaams-Brabant,,,,,50.802572151088,4.870970363203
8415.0,,Rue d Arlon ,80.0,1040.0,Bruxelles,Bruxelles-Brussel,,,,,50.841921582279,4.373302992607
8416.0,,thier de la chartreuse,2.0,4020.0,Liège,Liège,,,,,50.635258970147,5.591556879502
8417.0,,Chaussée de Wavre ,1789.0,1160.0,Bruxelles,Bruxelles-Brussel,,Y,,,50.815772349395,4.429447494647
8418.0,,Chaussée de Wavre,1789.0,1160.0,Bruxelles,Bruxelles-Brussel,,Y,,,50.815772349395,4.429447494647
8419.0,,COLLEGELAAN,24.0,3990.0,Peer,Limburg,,Y,,,51.134879198454,5.460921314294
8420.0,,SPORTLAAN ,10.0,3990.0,Peer,Limburg,,Y,,,51.136374194704,5.420548788002
8421.0,Appareil fixe-Vast apparaat,Ellikommerdijk,3.0,3990.0,Peer,Limburg,buitengevel,Oui-Ja,Oui-Ja,,51.122676362806,5.495736890238
8422.0,,LINDEBOSSTRAAT,2.0,3990.0,Peer,Limburg,,Y,,,51.085971380158,5.437494230195
8423.0,,Rue de la Carbo ,10.0,7333.0,Tertre,Hainaut,,Y,,,50.479590515829,3.801034420636
8424.0,,Rue de la Carbo ,10.0,7333.0,Tertre,Hainaut,,Y,,,50.479590515829,3.801034420636
8425.0,,Olenseweg ,74.0,2260.0,Westerlo,Antwerpen,,Y,,,51.099492144352,4.870345743778
8426.0,,Mannebeekstraat ,330.0,8790.0,Waregem,West-Vlaanderen,,Y,,,50.861156914494,3.427228991593
8427.0,,De Marlaan ,50.0,8490.0,Varsenare,West-Vlaanderen,,Y,,,51.201757817157,3.150102106459
8429.0,,Heikanstraat ,51.0,3670.0,Meeuwen-Gruitrode,Limburg,,Y,,,51.132617970525,5.538841833146
8430.0,,Kerkhofstraat ,18.0,3670.0,Meeuwen-Gruitrode,Limburg,,Y,,,51.096874853176,5.533092937215
8432.0,,Rue du Persil ,6.0,1000.0,Bruxelles,Bruxelles-Brussel,,Y,,,50.851397533366,4.357156513425
8433.0,,Rue Baccara ,1.0,5000.0,Namur,Namur,,Y,,,50.500896433602,4.605843557327
8434.0,,Rue de la Technique,9.0,1402.0,Thines,Brabant Wallon,,Y,,,50.584284761261,4.362902810966
8435.0,,Rue du Bosquet,41.0,1400.0,Nivelles,Brabant Wallon,,Y,,,50.583303324219,4.363235321065
