Latitude,Longitude,Intervention,Eventlevel,T3-T0,EventType,Vector type,AED,Ambulance,Mug,PIT,Province,distance_to_aed,distance_to_ambulance,distance_to_mug,distance_to_pit
51.20685,5.13662,1,1.0,18.884916666666665,P003 - Cardiac arrest,MUG,0,0,0,0,Antwerpen,1.2395392683744846,3.523140122597354,8.380097553991144,2.7927215516571016
51.24848,4.43869,1,1.0,4.2387,P003 - Cardiac arrest,Ambulance,0,0,0,0,Antwerpen,0.3353208645908528,1.454942029547361,1.259928995723486,2.4934986449595673
51.24848,4.43869,1,1.0,12.61255,P003 - Cardiac arrest,MUG,0,0,0,0,Antwerpen,0.3353208645908528,1.454942029547361,1.259928995723486,2.4934986449595673
51.28273,4.42134,1,1.0,13.4279,P003 - Cardiac arrest,MUG,0,0,0,0,Antwerpen,0.0833774188207129,3.2629201652500956,3.4348393823205097,5.7126623690937155
51.28273,4.42134,1,1.0,36.6195,P003 - Cardiac arrest,Ambulance,0,0,0,0,Antwerpen,0.0833774188207129,3.2629201652500956,3.4348393823205097,5.7126623690937155
51.17895,4.39024,1,2.0,10.955033333333336,P003 - Cardiac arrest,Ambulance,0,0,0,0,Antwerpen,0.17821046324815837,2.980274664852714,1.5788133132252113,6.097983255272997
51.17895,4.39024,1,2.0,11.065716666666669,P003 - Cardiac arrest,MUG,0,0,0,0,Antwerpen,0.17821046324815837,2.980274664852714,1.5788133132252113,6.097983255272997
51.2052,4.76586,1,0.0,9.628933333333332,P003 - Cardiac arrest,Ambulance,0,0,0,0,Antwerpen,0.4894219077695856,5.373831497018621,5.464297415490183,16.218600957317506
51.2052,4.76586,1,0.0,10.42875,P003 - Cardiac arrest,MUG,0,0,0,0,Antwerpen,0.4894219077695856,5.373831497018621,5.464297415490183,16.218600957317506
51.06293,4.45693,1,1.0,10.548416666666666,P003 - Cardiac arrest,MUG,0,0,0,0,Antwerpen,0.16655278269232332,2.2209176763076277,3.5956117302647135,7.666809943694172
51.06293,4.45693,1,1.0,,P003 - Cardiac arrest,Ambulance,0,0,0,0,Antwerpen,0.16655278269232332,2.2209176763076277,3.5956117302647135,7.666809943694172
51.06293,4.45693,1,1.0,8.35645,P003 - Cardiac arrest,Ambulance,0,0,0,0,Antwerpen,0.16655278269232332,2.2209176763076277,3.5956117302647135,7.666809943694172
51.16687,4.41863,1,1.0,8.706016666666667,P003 - Cardiac arrest,Ambulance,0,0,0,0,Antwerpen,0.6037544041129184,1.1485720096357401,1.0772425503213172,7.189568710233487
51.16687,4.41863,1,1.0,8.460066666666666,P003 - Cardiac arrest,MUG,0,0,0,0,Antwerpen,0.6037544041129184,1.1485720096357401,1.0772425503213172,7.189568710233487
51.21682,4.32976,1,1.0,15.858966666666667,P003 - Cardiac arrest,MUG,0,0,0,0,Antwerpen,0.24052807683121583,5.221266550627293,6.000291478848188,6.176687458102553
51.21682,4.32976,1,1.0,13.226166666666668,P003 - Cardiac arrest,Ambulance,0,0,0,0,Antwerpen,0.24052807683121583,5.221266550627293,6.000291478848188,6.176687458102553
51.24102,4.43908,1,0.0,8.90255,P003 - Cardiac arrest,MUG,0,0,0,0,Antwerpen,0.21917382674527564,2.088046057667572,1.972550903735453,1.9651113081946134
51.24102,4.43908,1,0.0,9.0122,P003 - Cardiac arrest,Ambulance,0,0,0,0,Antwerpen,0.21917382674527564,2.088046057667572,1.972550903735453,1.9651113081946134
51.43584,4.52359,1,1.0,11.992983333333331,P003 - Cardiac arrest,Ambulance,0,0,0,0,Antwerpen,0.8233408393451634,4.773653972258075,16.339139406181182,23.93519747975594
51.43584,4.52359,1,1.0,19.641,P003 - Cardiac arrest,MUG,0,0,0,0,Antwerpen,0.8233408393451634,4.773653972258075,16.339139406181182,23.93519747975594
51.30677,4.50882,1,0.0,7.871866666666667,P003 - Cardiac arrest,MUG,0,0,0,0,Antwerpen,0.5527006488311493,1.5859355032675366,2.209043537813162,10.601343108906265
51.30677,4.50882,1,0.0,8.06455,P003 - Cardiac arrest,Ambulance,0,0,0,0,Antwerpen,0.5527006488311493,1.5859355032675366,2.209043537813162,10.601343108906265
51.19284,4.37538,1,1.0,,P003 - Cardiac arrest,MUG,0,0,0,0,Antwerpen,0.29232675191192026,1.8173500649677865,3.201296167696954,5.119391033720434
51.23036,4.4111,1,1.0,14.874033333333331,P003 - Cardiac arrest,Ambulance,0,0,0,0,Antwerpen,0.10449682934650328,1.8984850291536777,2.640265159286765,0.3188171218517803
51.23036,4.4111,1,1.0,15.91125,P003 - Cardiac arrest,MUG,0,0,0,0,Antwerpen,0.10449682934650328,1.8984850291536777,2.640265159286765,0.3188171218517803
51.20281,4.45002,1,1.0,11.27025,P003 - Cardiac arrest,MUG,0,0,0,0,Antwerpen,0.41173047346546154,1.478025781479914,1.4934147132137243,4.002342225651626
51.20281,4.45002,1,1.0,14.040966666666666,P003 - Cardiac arrest,Ambulance,0,0,0,0,Antwerpen,0.41173047346546154,1.478025781479914,1.4934147132137243,4.002342225651626
51.15785,5.03792,1,1.0,8.243166666666665,P003 - Cardiac arrest,MUG,0,0,0,0,Antwerpen,1.2270388082066734,3.7760286741364903,2.591779546483825,6.1377531492214965
51.15785,5.03792,1,1.0,8.244933333333334,P003 - Cardiac arrest,Ambulance,0,0,0,0,Antwerpen,1.2270388082066734,3.7760286741364903,2.591779546483825,6.1377531492214965
51.29245,4.86225,1,0.0,14.923016666666664,P003 - Cardiac arrest,MUG,0,0,0,0,Antwerpen,1.601954228347395,3.1965092336076544,6.495064023281315,21.073243892837407
51.29245,4.86225,1,0.0,12.295416666666666,P003 - Cardiac arrest,Ambulance,0,0,0,0,Antwerpen,1.601954228347395,3.1965092336076544,6.495064023281315,21.073243892837407
51.15563,4.8075,1,0.0,11.315733333333332,P003 - Cardiac arrest,MUG,0,0,0,0,Antwerpen,0.1290338311402847,3.7752569167655277,3.5058374956671714,17.173050986280764
51.15563,4.8075,1,0.0,10.277716666666668,P003 - Cardiac arrest,Ambulance,0,0,0,0,Antwerpen,0.1290338311402847,3.7752569167655277,3.5058374956671714,17.173050986280764
51.27417,4.63356,1,0.0,5.1756166666666665,P003 - Cardiac arrest,MUG,0,0,0,0,Antwerpen,0.7923360820410591,0.7575796455771615,0.7923360820410591,16.465196509114826
51.27417,4.63356,1,0.0,8.634083333333333,P003 - Cardiac arrest,Ambulance,0,0,0,0,Antwerpen,0.7923360820410591,0.7575796455771615,0.7923360820410591,16.465196509114826
51.26698,5.0924,1,1.0,13.571916666666668,P003 - Cardiac arrest,MUG,0,0,0,0,Antwerpen,0.4805144610089402,5.877975142571821,13.518849436684423,9.068950848658835
51.26698,5.0924,1,1.0,14.127833333333331,P003 - Cardiac arrest,Ambulance,0,0,0,0,Antwerpen,0.4805144610089402,5.877975142571821,13.518849436684423,9.068950848658835
51.26349,4.57227,1,1.0,10.056266666666666,P003 - Cardiac arrest,MUG,0,0,0,0,Antwerpen,0.9158493839339349,5.334871617192407,5.213443733732147,14.56095157879279
51.26349,4.57227,1,1.0,9.309533333333333,P003 - Cardiac arrest,Ambulance,0,0,0,0,Antwerpen,0.9158493839339349,5.334871617192407,5.213443733732147,14.56095157879279
51.2438,4.57976,1,0.0,17.375600000000002,P003 - Cardiac arrest,Ambulance,0,0,0,0,Antwerpen,0.016977005685221425,5.63556389006582,5.7184891183582955,12.408591353195606
51.2438,4.57976,1,0.0,37.78671666666666,P003 - Cardiac arrest,MUG,0,0,0,0,Antwerpen,0.016977005685221425,5.63556389006582,5.7184891183582955,12.408591353195606
51.2677,4.53066,1,1.0,11.306283333333331,P003 - Cardiac arrest,MUG,0,0,0,0,Antwerpen,0.4849729602967556,4.657487170388455,3.7313136978292056,8.98153095457178
